ITEM_ID,GENRES,CREATION_TIMESTAMP
429bfb10-258d-43b2-a674-d21d9b3bbd0c,Drama,
2fef5c03-8d8e-4bec-b610-36234d2bfaa7,Drama,
85799c1e-28a6-4fc0-a8de-ab7e104e15d8,Drama,
c56bc8f5-bc6a-4a6e-87b5-9f4c26894bb8,Drama,
4ed8edac-5df2-4df6-ae72-c9de6c3644e6,Drama,
81a6bff1-7ce1-47ad-9b33-e2b3568626da,Drama,
a4962f0c-f3fa-4b36-a5bf-1b7cfe33da08,Drama,
bb2fd3f4-0856-4170-81ae-1604fadcd6dd,Home and How To,
76dda699-e4ca-4a30-ab55-6b3a076eb5ed,Home and How To,
835bfb6a-a0a7-4fb3-b45d-7ea2264cf224,Home and How To,
7dab9944-96e1-4946-9668-fbe1c751309e,Home and How To,
bf0f30b7-f0fd-4e3e-a81d-ecc8372590c5,Home and How To,
3b94810a-6732-445f-876f-93aee62984d4,Home and How To,
a1f2f9d2-a971-4a63-b5c9-16c765398b70,Home and How To,
b7fc4395-4de4-4880-a6f8-4b5501125324,Home and How To,
f677a552-ac29-4555-9a52-0a66c2763947,Home and How To,
4d9b3404-dba1-49eb-8865-575ebdf0b46d,Home and How To,
7cbbc3bc-6820-4961-becc-461523f5112c,Arts and Music,
ab3a9993-19d1-4358-8723-6f01843fbef5,Arts and Music,
cb8836d8-f4e8-470e-bbfd-ef04f56eea98,Home and How To,
520018b1-a6a0-4b18-8ea3-164855663e02,Home and How To,
9f8c88b9-fbcf-4d38-b8e6-ca03afe08a29,Home and How To,
4e2c8d43-a8ee-41c1-b8cf-f7a10d5c2ef2,Home and How To,
b789ea23-de34-4840-908a-883ddf2833ad,Home and How To,
c1464e37-f99d-4c86-9768-e7562b7e4932,Home and How To,
b0111e72-3eb5-4844-96fc-9d90c6bcd50a,Home and How To,
18a7c83f-37f9-445c-8fd7-525962263a3d,Home and How To,
530b775b-50a4-4cdb-8690-24174d2a74eb,Home and How To,
b3b52496-0afc-4280-849c-d6db77b87c74,Culture,
6ff95750-dcf9-46d5-b7c7-d0fb77b231e4,Home and How To,
d25c5368-9257-4110-af8a-78c7ecf68878,Home and How To,
ef7e3386-3ed2-4908-b9db-71f3e60915ae,Home and How To,
11e9f2a6-ebb7-423f-9992-3d91b50a0330,Home and How To,
8314d233-8474-438a-91c8-05ca0f898fce,Home and How To,
4f027c3f-8142-4910-a704-4f713e2dde99,Home and How To,
d7528604-a11c-4baf-ac84-37a1adbc5190,Home and How To,
e554e6d6-b4d3-4a04-a298-dc7c2854175c,Home and How To,
eb084bf9-8593-4039-8121-8a754a6ed5ae,Home and How To,
45f3e0dd-7ed0-424b-af66-ae138fba7e47,History,
41ec2de1-140e-4182-9868-c8bc79f3e423,History,
b13a3d07-988d-477f-b517-f8729122463c,Drama,
a521c96b-b8cd-4e22-92f2-83dc0b35a735,Drama,
e8142179-6a0e-422d-a48c-751842c181fb,Drama,
6235af80-c5b4-4f9f-9fc9-d4558f2a6334,History,
a6b748ba-d761-4b61-8f84-f73b51fb2cee,History,
52c79615-05c1-45d5-ab39-cd02c725b114,History,
b5ee29f1-48b3-49da-9740-b8e7ad70a277,Drama,
